Filename,Duration,File Size,Creation Date,Original Path
invideo-ai-480 American Disaster_ Project 2025 Unveiled 2024-07-09.mp3,3:11,4.74 MB,07-10-24,/Users/steven/Movies/Project2025/invideo-ai-480 American Disaster_ Project 2025 Unveiled 2024-07-09.mp3
primary.mp3,2:05,2.79 MB,06-11-24,/Users/steven/Documents/quiz-talk/primary.mp3
TVGA.mp3,2:25,2.08 MB,06-11-24,/Users/steven/Documents/quiz-talk/TVGA.mp3
question_47.mp3,0:14,280.31 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_47.mp3
question_52.mp3,0:12,246.09 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_52.mp3
question_46.mp3,0:14,285.47 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_46.mp3
question_50.mp3,0:11,225.00 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_50.mp3
question_44.mp3,0:11,233.44 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_44.mp3
question_45.mp3,0:12,235.78 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_45.mp3
question_51.mp3,0:11,225.00 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_51.mp3
question_41.mp3,0:13,262.50 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_41.mp3
question_40.mp3,0:13,262.97 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_40.mp3
question_42.mp3,0:11,217.03 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_42.mp3
question_43.mp3,0:12,245.62 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_43.mp3
question_24.mp3,0:13,261.56 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_24.mp3
question_30.mp3,0:12,240.94 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_30.mp3
question_18.mp3,0:13,261.09 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_18.mp3
question_3.mp3,0:12,245.62 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_3.mp3
question_2.mp3,0:12,249.38 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_2.mp3
question_19.mp3,0:13,268.59 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_19.mp3
question_31.mp3,0:12,240.94 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_31.mp3
question_25.mp3,0:13,271.88 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_25.mp3
question_33.mp3,0:11,221.25 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_33.mp3
question_27.mp3,0:12,235.78 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_27.mp3
