Filename,File Size,Creation Date,Original Path
in_this_alley_where_i_Hide_-_LIVE-stadium 2_analysis 1.txt,3.50 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes_of_yesterday_remastered_analysis 1.txt,2.57 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark-v4_transcript 1.txt,2.46 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Junkyard_Symphony_Scraps2_(Remastered) 2_analysis 1.txt,3.08 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_is_rubbish_Lets_Get_Trashy_analysis 1.txt,3.22 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feelers-chill-lady_analysis_1_1.txt,2.65 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Alley_King_(Remastered)1_transcript_2_1.txt,1.74 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings_and_Queens_of_Litter_(Remastered)1 2_analysis 3.txt,1.66 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard_analysis2_1_1.txt,2.95 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Junkyard_Symphony_Scraps_(Remastered)_analysis 3.txt,975.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feelers-chill-lady_transcript 1.txt,1.24 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-322_transcript 1.txt,1.12 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Workshop-Worries.txt,2.20 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark_Remastered_Song_Lyrics_analysis 1.txt,2.54 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Alley_King_(Remastered)1_transcript 1.txt,1.74 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Witches_Road_(Remastered)_analysis 3.txt,1.45 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-og-best_analysis 1.txt,1.56 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis 2.txt,2.85 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammy's Serenade (Remastered x2)2_analysis 1.txt,3.22 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Down_the_Witchs_Road_transcript 2.txt,1.27 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes_of_moonlight_song_lyrics_analysis2_1_1.txt,2.28 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Grime_analysis2_1_1.txt,3.41 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Let's Get Trashy_transcription.txt,1.72 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-stadium 2_transcript 1.txt,1.10 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis 3.txt,1.75 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2_(Remastered)_(1)_analysis_1_1.txt,2.38 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_in_the_Alley_analysis 2.txt,1.95 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard-v4_transcript 1.txt,1.15 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in-this--aLLey-where-i-hiDe_analysis 1.txt,2.95 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Witches_Road_(Remastered)_analysis 2.txt,2.78 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Sound_of_Ancestors_(Remastered)1_analysis 1.txt,3.31 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2-v4_analysis2_1_1.txt,2.25 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
10-36-44-API_Analysis_Masterpiece.json,189.83 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Howligritty Nights_transcription.txt,2.22 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark-v4_2_transcript 1.txt,2.34 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark-v4_2_analysis2_1_1.txt,2.31 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-322_transcript 2.txt,1.04 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Alley_King_(Remastered)1_transcript 2.txt,1.74 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Sound_of_Ancestors_(Remastered)1_analysis_1_1.txt,3.17 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Sound_of_Ancestors_(Remastered)1_analysis 3.txt,1.44 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark_Remastered_Song_Lyrics_analysis 2.txt,1.30 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in-this--aLLey-where-i-hiDe_analysis 3.txt,2.95 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Grime_analysis_1_1.txt,2.54 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammy's_Serenade_(Remastered)_analysis 1.txt,1.59 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heroes_Rise__-_Villains_Overthrow_(Remastered)2 2_analysis 1.txt,3.59 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-v4-og_analysis_1_1.txt,2.14 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammy's Serenade (Remastered x2)2_analysis 2.txt,3.65 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark-v4_2_transcript_1_1.txt,2.40 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Down_the_Witchs_Road_transcript 1.txt,1.19 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-og_analysis_1_1.txt,2.60 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Moonly_Alley_analysis_1_1.txt,3.08 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes_of_yesterday_remastered_transcript 1.txt,1.34 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Junkyard_Symphony_Scraps_(Remastered)_analysis_1_1.txt,2.01 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-stadium_2_analysis-1_2_1_1.txt,3.38 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard-v4_transcript 2.txt,1.15 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_in_the_Alley_analysis 1.txt,2.59 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
paths.txt,53.39 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Down_the_Witchs_Road_analysis2_1_1.txt,3.23 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Witches_Road_(Remastered)_analysis 1.txt,3.08 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in-this--aLLey-where-i-hiDe_analysis 2.txt,2.18 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Sound_of_Ancestors_(Remastered)1_analysis 2.txt,2.83 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
